DATETIME,LATITUDE,LONGITUDE
2022-01-10 16:33:14,41.54799299999999,-70.61108199999995
2022-01-10 16:33:44,41.54799299999999,-70.61108199999995
2022-01-10 16:34:14,41.54799283333334,-70.61108199999995
2022-01-10 16:34:44,41.547992000000015,-70.61108253333333
2022-01-10 16:35:14,41.547992000000015,-70.611083
2022-01-10 16:35:44,41.547992000000015,-70.611083
2022-01-10 16:36:14,41.547992000000015,-70.61108373333333
2022-01-10 16:36:38,41.54799200000001,-70.611085
2022-01-10 16:36:53,41.54799200000001,-70.611085
2022-01-10 16:37:14,41.54799173333335,-70.611085
2022-01-10 16:37:44,41.54799000000002,-70.611085
2022-01-10 16:38:14,41.54799013333335,-70.611085
2022-01-10 16:38:44,41.547992000000015,-70.61108606666667
2022-01-10 16:39:14,41.547992000000015,-70.611087
